Date,thermD,MLD,SW,AirT,Prec(mm),relhum,Wdir,Wspeed(m/s),CC,Inflow,W,delT,Ice_d,day_from_iceoff
1992-04-17,-36.8,-36.8,229.359726,0.7583333333333329,0.0,51.60727214441391,283.0,1.3666666666666665,33.666666666666664,25.1432,0.052001516723128756,-0.07318910956382751,87,-44.0
1992-04-18,-36.8,-0.8226465708871363,139.8404388,2.1333333333333337,4.0,68.43990418383031,208.0,2.6791666666666667,75.0,24.1421,0.00020219688303939998,-0.41059179976582527,87,-43.0
1992-04-19,-36.8,-1.9003279327189235,147.7835236,2.516666666666666,0.3,79.98399749499514,344.0,4.179166666666666,75.33333333333333,27.8885,0.0007864203643376265,-0.3885199874639511,87,-42.0
1992-04-20,-36.8,-36.8,194.7610016,2.770833333333333,0.0,66.88221235916916,339.0,3.3750000000000004,71.0,28.1896,0.03705781376239947,-0.08231112360954285,87,-41.0
1992-04-21,-36.8,-36.8,226.2495117,1.4791666666666663,0.2,59.090356474247805,0.0,3.3791666666666664,54.66666666666666,26.8091,0.015191471567177994,-0.08439412713050842,87,-40.0
1992-04-22,-36.8,-36.8,227.1811676,-0.5666666666666665,0.0,70.34709911993686,339.0,2.2291666666666665,87.66666666666667,25.5628,0.004198800524427018,-0.08602672815322876,87,-39.0
1992-04-23,-36.8,-36.8,232.3126984,0.1208333333333333,0.0,58.32514772481924,348.0,2.1833333333333327,58.333333333333336,24.3157,0.01353042773438269,-0.08734369277954102,87,-38.0
1992-04-24,-36.8,-36.8,222.6378479,0.975,0.0,61.61849604254986,0.0,1.4416666666666664,58.66666666666666,23.1421,0.05169199962414806,-0.08833476901054382,87,-37.0
1992-04-25,-36.8,-36.8,33.22588348,4.820833333333334,8.3,76.49969581517155,142.0,2.645833333333333,92.0,22.0306,0.05335958126393845,-0.089016854763031,87,-36.0
1992-04-26,-36.8,-36.8,251.50914,9.366666666666667,0.1,60.6830887703746,163.0,3.004166666666667,58.66666666666666,24.8547,0.05858963088039609,-0.08940127491950989,87,-35.0
1992-04-27,-36.8,-36.8,20.54400444,6.466666666666666,11.4,87.55490962976981,138.0,2.6666666666666656,100.0,23.5282,0.011392999118583998,-0.08950254321098328,87,-34.0
1992-04-28,-36.8,-36.8,202.2782898,8.9,0.1,69.08979566634271,191.0,2.141666666666667,54.333333333333336,29.8808,0.009330817256375152,-0.089384526014328,87,-33.0
1992-04-29,-36.8,-36.8,54.92933273,7.582608695652175,4.3,83.7704223559189,132.0,2.8000000000000003,96.0,28.862,0.03184944178563169,-0.089058518409729,87,-32.0
1992-04-30,-36.8,-36.8,224.7506561,8.2125,0.0,65.25339641372223,241.0,3.804166666666666,41.66666666666666,29.4417,0.037675640395129724,-0.08854010701179504,87,-31.0
1992-05-01,-36.8,-36.8,127.0991287,9.541666666666666,0.2,59.81368204268319,174.0,3.0208333333333326,92.0,27.8348,0.06516809909266467,-0.08784595131874084,87,-30.0
1992-05-02,-36.8,-36.8,194.8741302,9.825,0.1,59.90135984208808,242.0,3.687499999999999,54.333333333333336,26.4657,0.07683399389965105,-0.08698040246963501,87,-29.0
1992-05-03,-36.8,-36.8,200.5093231,8.783333333333333,3.1,64.65024837393541,181.0,1.975,37.66666666666666,25.1678,0.24681170495019458,-0.08595386147499084,87,-28.0
1992-05-04,-1.2244,-36.8,243.60289,9.675,0.0,56.793227077896766,0.0,2.5916666666666663,54.333333333333336,24.7101,0.03421184431891082,-0.08480720221996307,87,-27.0
1992-05-05,-1.1599,-36.8,229.2047272,11.35,0.0,71.65602650027374,223.0,2.5791666666666666,54.333333333333336,23.2291,0.1151711651838978,-0.0835486352443695,87,-26.0
1992-05-06,-2.2826,-36.8,214.4691925,10.145,0.0,64.166562022935,245.0,5.305,83.66666666666667,21.9855,0.06141249209819282,-0.0821886658668518,87,-25.0
1992-05-07,-24.2023,-36.8,150.5661774,10.6125,0.0,77.34896885607687,216.0,3.454166666666667,92.0,20.8753,0.08816686729359637,-0.08073821663856506,87,-24.0
1992-05-08,-24.6575,-36.8,259.8639526,9.416666666666666,0.2,51.44434297705307,248.0,5.004166666666667,33.666666666666664,19.851,0.035467578044277685,-0.07920771837234497,87,-23.0
1992-05-09,-32.4895,-36.8,191.7633362,5.441666666666666,5.2,76.14735849966358,225.0,2.1375,79.33333333333333,18.9403,0.04557116221271292,-0.07759219408035278,87,-22.0
1992-05-10,-32.7784,-36.8,252.3239288,6.741666666666667,0.0,62.59692458352048,208.0,2.079166666666667,50.333333333333336,19.3646,0.06386080135243805,-0.0758604109287262,87,-21.0
1992-05-11,-32.5105,-36.8,256.2515259,6.875,0.2,62.308277859851344,0.0,2.45,42.0,17.9289,0.030591849689224328,-0.07402822375297546,87,-20.0
1992-05-12,-15.5133,-36.8,230.0601501,7.6125,5.9,59.99895977318943,0.0,1.8125,46.0,16.8958,0.2151275414393367,-0.07217088341712952,87,-19.0
1992-05-13,-11.5828,-36.8,229.8381805,9.4875,0.0,63.317704769736274,0.0,2.858333333333333,50.333333333333336,17.5425,0.0983688543649411,-0.07030676305294037,87,-18.0
1992-05-14,-1.1894,-36.8,262.131012,13.620833333333332,0.0,49.5210909100257,0.0,1.3166666666666669,13.0,16.0654,0.03454424814060083,-0.0684291273355484,87,-17.0
1992-05-15,-1.4707,-36.8,276.1205444,16.645833333333332,0.0,48.4319918125641,186.0,2.0708333333333333,0.0,15.0142,0.04322232852039533,-0.06647537648677826,87,-16.0
1992-05-16,-5.6772,-36.8,256.4950256,15.583333333333334,0.0,44.83883725558957,343.0,4.5125,54.333333333333336,14.1708,0.010506089807161828,-0.0643640011548996,87,-15.0
1992-05-17,-5.9647,-36.8,273.5576477,11.499999999999998,0.0,45.099934817329554,0.0,2.691666666666667,25.33333333333333,13.4375,0.030408456059017246,-0.062209174036979675,87,-14.0
1992-05-18,-6.676,-36.8,266.8257751,16.150000000000002,0.0,54.66603875838464,0.0,1.2541666666666669,25.33333333333333,12.7703,0.013429470937041934,-0.0601009726524353,87,-13.0
1992-05-19,-1.1352,-36.8,273.4182434,19.51666666666667,0.0,49.024580320505976,236.0,2.8416666666666663,8.666666666666666,12.1487,0.012006950097111448,-0.058040112257003784,87,-12.0
1992-05-20,-1.1583,-36.8,250.8916626,18.958333333333336,0.0,43.49115894890366,0.0,1.2875,71.0,11.5629,0.04004897567937624,-0.05602307617664337,87,-11.0
1992-05-21,-1.1887,-36.8,228.7172089,17.616666666666667,0.0,55.02901159550865,343.0,1.825,25.0,11.0078,0.39338249101110623,-0.05404074490070343,87,-10.0
1992-05-22,-1.4623,-36.8,267.8591003,15.441666666666665,0.0,62.49787040855183,136.0,1.2958333333333336,25.33333333333333,10.4805,0.01678244090426355,-0.052091434597969055,87,-9.0
1992-05-23,-2.3882,-36.8,243.9181824,17.066666666666674,5.7,56.590208856528434,175.0,1.554166666666667,21.0,9.97889,0.008222928507705526,-0.05016188323497772,87,-8.0
1992-05-24,-3.1013,-36.8,209.4788055,15.8375,0.3,64.91774606585672,206.0,1.2166666666666666,54.333333333333336,10.9996,0.0033949012733302045,0.09409083425998688,87,-7.0
1992-05-25,-3.1421,-36.8,236.5528107,15.745833333333332,0.0,55.18921980437228,0.0,1.05,38.0,9.99395,0.0006296414852480636,0.032965898513793945,87,-6.0
1992-05-26,-3.142,-36.8,290.4676208,15.504166666666665,0.0,48.72100219404547,0.0,0.8791666666666668,4.333333333333333,9.2427,0.0003237138945193842,-0.01119685173034668,87,-5.0
1992-05-27,-3.044,-36.8,287.9586487,19.165217391304346,0.0,39.71661362716922,0.0,0.9391304347826088,17.0,8.67953,0.000938118975373064,-0.013461686670780182,87,-4.0
1992-05-28,-2.0252,-36.8,283.958252,17.51304347826087,0.0,49.03287577516095,0.0,0.7260869565217393,0.0,8.21076,0.004996521797573543,0.01054033637046814,87,-3.0
1992-05-29,-2.5402,-36.8,295.5938721,17.31304347826087,0.0,46.8306065847286,0.0,1.0782608695652172,8.666666666666666,7.7943,0.0034442026313405536,0.005240827798843384,87,-2.0
1992-05-30,-2.6693,-36.8,304.9460449,18.058333333333334,0.0,43.83943520226848,0.0,0.7041666666666667,4.333333333333333,7.41103,0.00025185791113881335,0.0033887848258018494,87,-1.0
1992-05-31,-2.7551,-36.8,270.0718384,20.570833333333333,1.9,50.67839834396904,0.0,0.8000000000000002,33.333333333333336,7.05195,0.000331287917905491,0.002207968384027481,87,0.0
1992-06-01,-2.6822,-36.8,271.7773743,18.87222222222222,0.0,53.95360708801624,0.0,0.4714285714285714,25.33333333333333,7.1891,0.0,0.0014471318572759628,87,1.0
1992-06-02,-2.223,-36.8,295.644043,17.750000000000004,0.0,51.331106067643695,135.0,1.7124999999999997,46.0,6.67121,0.0,0.0009718453511595726,87,2.0
1992-06-03,-3.0678,-36.8,299.3806152,16.770833333333332,0.0,50.732573650436464,130.0,1.6916666666666664,4.333333333333333,6.275,0.0011399674239490742,0.0006794547662138939,87,3.0
1992-06-04,-3.6205,-36.8,293.1883545,18.22083333333333,0.0,46.736102670528105,0.0,1.0708333333333333,29.33333333333333,5.94071,0.003006691208063134,0.00047036667820066214,87,4.0
1992-06-05,-3.6684,-36.8,293.8011475,19.72083333333333,0.0,43.22272932967288,0.0,0.7666666666666667,25.33333333333333,5.64146,0.001223097091195404,0.0003013601526618004,87,5.0
1992-06-06,-3.7155,-36.8,287.1532898,20.5125,0.0,48.81396273868823,0.0,0.8041666666666668,50.333333333333336,5.36496,0.0005113590188544275,0.00015747873112559319,87,6.0
1992-06-07,-3.7041,-36.8,292.2033691,21.19166666666667,0.0,43.207949558063454,0.0,0.9416666666666668,8.666666666666666,5.10543,0.0018359721563273143,7.683457806706429e-05,87,7.0
1992-06-08,-3.1823,-36.8,260.9082336,17.458333333333332,0.0,52.86614418414054,41.0,2.395833333333333,46.333333333333336,4.85997,0.00425894606481924,3.253202885389328e-05,87,8.0
1992-06-09,-3.7147,-36.8,306.5146484,15.595833333333331,0.0,50.54499564004745,49.0,1.4041666666666666,13.0,4.62699,0.003202269651429988,4.462897777557373e-06,87,9.0
1992-06-10,-4.1448,-36.8,303.8143921,17.158333333333335,0.0,44.42722919174109,350.0,1.6749999999999998,17.0,4.40547,0.005539320934705265,-1.7059501260519028e-05,87,10.0
1992-06-11,-4.3337,-36.8,243.230545,14.762499999999998,0.6,63.42932016128157,0.0,1.175,50.0,4.19469,0.011432525321395725,-3.344705328345299e-05,87,11.0
1992-06-12,-4.6733,-36.8,227.8158569,16.229166666666664,5.2,66.97375129744832,57.0,1.2541666666666669,71.0,4.1445,0.015625138850861663,-4.535773769021034e-05,87,12.0
