Date	thermD	MLD	SW	AirT	Prec(mm)	relhum	Wdir	Wspeed(m/s)	CC	Inflow	W	delT	Ice_d	day_from_iceoff	MM	NH4-N	NOX	O2	Tot-P	PO4-P	Si	Water temp	Chl
1994-07-19	-5.6828	-36.8	290.8036804	18.541666666666675	0.0	48.80015732181876	331.0	1.6583333333333332	25.33333333333333	1.32387	0.0015690616675133	-2.5195535272359848e-05	85	49.0	7	18.0	774.0	9.32	41.0	8.0	2.1	20.8	23.1
1994-08-16	-8.1372	-1.1094784004908886	235.4723969	14.645833333333334	0.0	56.73662499516844	0.0	1.1	54.333333333333336	4.0051	0.0003466038647082	-0.249695386737585	85	77.0	8	8.0	622.0	8.16	38.0	6.0	1.4	19.9	18.0
1994-09-19	-17.1517	-36.8	104.8835068	10.195652173913045	2.3	76.70947715858306	342.0	1.1956521739130437	96.0	6.25796	0.0002871262180787	0.0110101699829101	85	111.0	9	23.0	731.0	8.33	36.0	11.0	2.4	13.9	7.0
1994-10-17	-36.8	-9.7565873955409	75.13671875	1.2083333333333333	0.0	59.50929297900384	298.0	2.7374999999999994	25.33333333333333	2.9915	0.3484843527537973	5.4998064041137695	85	139.0	10	7.0	816.0	9.7	47.0	38.0	2.8	9.8	1.8
1995-03-09	-36.8	-36.8	57.29942703	0.8166666666666665	0.2	91.65199797667978	339.0	2.291666666666667	100.0	27.2125	0.0	0.0024924278259277	73	-82.0	3	68.0	1857.0	11.55	71.0	43.0	4.13	1.1	0.5
1995-05-16	-36.8	-36.8	254.219162	5.199999999999999	1.5	72.58699151087579	195.0	2.0454545454545454	83.66666666666667	28.1975	0.0010571524462867	-4.450068809092045e-05	73	-14.0	5	10.0	1696.0	11.35	57.0	34.0	3.68	5.6	1.6
1995-06-13	-6.1372	-36.8	152.5723419	11.670833333333334	4.2	92.2198852276421	359.0	2.0291666666666663	100.0	9.65245	0.0020617616036281	-0.0167415142059326	73	14.0	6	68.0	1124.0	9.2	44.0	13.0	2.64	15.2	11.7
1995-07-10	-9.9436	-36.8	302.6635742	15.504166666666668	0.0	51.019425174437714	0.0	0.6833333333333332	50.333333333333336	3.13492	0.0002773019094573	0.0074882507324218	73	41.0	7	11.0	1138.0	11.24	36.0	7.0	1.46	17.8	15.9
1995-08-14	-9.7006	-36.8	154.2202759	18.841666666666665	0.0	89.27322365544784	101.0	1.2125	96.0	1.884	0.0005437539575479	-0.0078130662441253	73	76.0	8	8.0	722.0	9.14	35.0	7.0	1.13	20.7	19.7
1995-09-18	-17.2964	-2.0282567030906504	173.8760986	7.808333333333334	0.0	72.5812095358614	0.0	0.6750000000000002	13.0	1.31528	0.007971307732595	3.286233901977539	73	111.0	9	17.0	935.0	8.76	32.0	9.0	1.95	14.4	5.1
1995-10-23	-36.8	-1.6157809662762326	39.63308716	9.025	0.0	85.51388361987341	221.0	2.9875000000000003	92.0	2.95716	0.0113123062723003	4.946871757507324	73	146.0	10	15.0	1188.0	9.52	42.0	31.0	2.57	10.3	1.3
1996-03-14	-36.8	-36.8	105.8922882	-0.8541666666666666	0.4	75.8829984020869	51.0	2.6833333333333336	50.0	6.02872	0.0014979556387687	0.0001407652162015	95	-78.0	3	2.0	1359.0	11.47	47.0	41.0	2.21	2.2	0.6
