Date	Wind Spd	AirP	AirT	Hum	CC	SWR	delT	Kelsey_inflow	Kelsey_temp	Scotts_inflow	Scotts_temp	Middle_inflow	Middle_temp	Ungaged_inflow	Ungaged_temp
2020-02-02	2.0675666666666666	965.0897249999999	9.995833333333332	64.83333333333333	0.15167916666666667	590.0	0.6676388888888889	2.095	9.5181	1.526	9.938	2.581	10.967	7.257	8.904250919616898
2020-02-03	1.6018791666666674	965.504575	3.066666666666667	63.791666666666664	0.09944166666666665	595.0	0.11916666666666664	1.951	7.6097	1.355	7.6676	2.256	8.9236	6.508	7.261699766114574
2020-02-04	0.33527083333333335	969.0913083333331	4.379166666666667	48.125	0.1323875	537.0	0.15430555555555547	1.797	6.4167	1.198	7.043	1.941	8.6597	5.774	6.411372626623027
2020-02-05	0.4283999999999999	969.8398416666669	5.8374999999999995	65.70833333333333	0.14679166666666665	579.0	0.3774999999999999	1.703	6.1576	1.09	7.2827	1.713	9.2119	5.272	6.23752960803488
2020-02-06	0.18625833333333333	967.1046291666665	9.616666666666665	75.08333333333333	0.128875	601.6	0.5722222222222221	1.625	7.4035	1.008	8.9533	1.562	10.51	4.908	7.088205957501216
2020-02-07	0.018625	965.0558624999998	9.633333333333335	71.25	0.0908875	612.0	1.226805555555555	1.548	8.1562	0.946	9.2303	1.421	10.837	4.581	7.32239507739613
2020-02-08	0.8195666666666667	963.1030583333331	10.083333333333332	58.458333333333336	0.0626625	615.0	1.0305555555555561	1.457	8.4125	0.878	8.0497	1.309	10.866	4.263	6.90834306365011
2020-02-09	1.7322749999999998	963.0861208333334	9.583333333333332	35.916666666666664	0.06285416666666667	633.0	0.11194444444444455	1.379	7.8729	0.82	7.74	1.193	10.242	3.968	6.527120941268059
2020-02-10	1.0430833333333334	963.1369208333335	9.687500000000002	43.291666666666664	0.105325	633.0	0.06819444444444422	1.321	7.3861	0.766	7.2329	1.103	10.085	3.732	6.117014023393179
2020-02-11	0.39114166666666655	963.3288166666667	11.449999999999998	48.916666666666664	0.068125	635.0	0.5836111111111109	1.262	8.1187	0.734	8.8203	1.023	10.9	3.534	6.824196370449813
2020-02-12	0.22351666666666667	962.4709166666667	10.570833333333335	55.583333333333336	0.0635125	638.0	0.7433333333333332	1.228	8.6972	0.686	9.2149	0.97	11.275	3.374	7.09542137668852
2020-02-13	0.16763333333333333	961.4225458333332	9.666666666666666	60.291666666666664	0.11916666666666666	633.0	0.647222222222222	1.164	8.9201	0.652	8.6343	0.915	11.291	3.194	6.916254587174277
2020-02-14	0.1490125	962.5033791666666	7.508333333333333	78.45833333333333	0.16036666666666663	632.0	0.8209722222222223	1.135	8.925	0.622	8.107	0.862	11.265	3.065	6.698874632428663
2020-02-15	0.18625833333333333	965.9518416666666	9.254166666666666	72.20833333333333	0.22524999999999998	602.3333	1.0436111111111115	1.091	8.9903	0.595	8.2021	0.804	11.481	2.913	6.701717572702609
2020-02-16	0.31665	967.1272125	10.783333333333333	60.333333333333336	0.2041125	622.2	0.9874999999999998	1.06	9.5354	0.569	11.306	0.756	12.028	2.791	7.877333262229233
2020-02-17	0.13038333333333332	965.5440750000001	8.310416666666667	80.08333333333333	0.17589999999999997	679.0	0.8281944444444447	1.033	9.7181	0.566	8.6935	0.736	11.675	2.733	7.0481841165217
2020-02-18	0.11175833333333333	962.3016041666668	8.975	53.708333333333336	0.17418749999999997	663.0	0.898055555555555	0.983	9.5833	0.541	8.3303	0.726	11.723	2.633	6.84871105485147
2020-02-19	0.2421375	962.7517166666665	8.962499999999999	66.41666666666667	0.18681250000000002	677.0	0.8743055555555556	0.777	9.3028	0.519	7.5021	0.683	11.503	2.315	6.373424289415714
2020-02-20	0.5960541666666667	964.2445499999999	9.216666666666667	59.958333333333336	0.2664791666666667	611.0	0.7283333333333335	0.57	9.9778	0.51	8.125	0.641	11.528	2.012	6.705053128510866
2020-02-21	0.5587958333333333	964.1105041666665	9.85	58.458333333333336	0.3081291666666667	767.0	0.7962500000000002	0.578	9.9549	0.501	9.1775	0.623	11.732	1.991	7.041229417780987
2020-02-22	0.42840833333333334	960.1554791666666	10.612499999999999	62.25	0.16812083333333336	679.0	0.4900000000000002	0.568	10.089	0.483	9.4208	0.613	11.89	1.947	7.1521868592574664
2020-02-23	0.8754500000000002	965.3874458333331	11.608333333333333	67.08333333333333	0.18682083333333332	684.0	0.4900000000000002	0.545	10.544	0.457	10.217	0.559	12.226	1.826	7.529110147774584
2020-02-24	0.8381874999999996	972.9461500000001	9.362500000000002	75.91666666666667	0.1807375	692.0	0.4361111111111115	0.538	10.658	0.445	8.7257	0.538	11.969	1.78	7.054482887890603
2020-02-25	0.03725	970.9594708333333	10.974999999999996	68.70833333333333	0.173875	689.0	0.39888888888888924	0.541	10.759	0.432	10.591	0.53	12.35	1.758	7.702793118361087
2020-02-26	0.0	970.6151874999999	12.299999999999997	62.958333333333336	0.17857916666666665	705.0	0.6705555555555559	0.531	11.03	0.425	11.132	0.501	12.712	1.705	7.955723811077774
2020-02-27	0.09313333333333333	969.1576208333336	13.054166666666662	64.75	0.15124583333333333	703.0	1.5231944444444443	0.508	11.41	0.425	11.449	0.481	12.957	1.654	8.171160481806206
2020-02-28	0.018625	965.6202624999997	12.629166666666665	63.5	0.24433749999999999	659.0	2.0718055555555552	0.497	11.756	0.425	11.983	0.481	13.031	1.642	8.46034143269546
2020-02-29	1.5087541666666666	961.439475	11.191666666666668	49.166666666666664	0.22855833333333334	733.0	1.792083333333334	0.483	11.801	0.407	9.6814	0.481	12.518	1.605	7.695728459644539
2020-03-01	1.4528749999999997	959.8436458333332	7.320833333333333	61.75	0.35722499999999996	824.0	0.050416666666666554	0.481	11.36	0.396	7.6261	0.468	11.865	1.575	6.85361194135523
2020-03-02	2.328333333333333	963.5545666666666	12.633333333333335	24.333333333333332	0.16512083333333333	719.0	0.05916666666666689	0.514	10.841	0.396	10.241	0.43	11.349	1.569	7.550180127036853
2020-03-03	0.5029083333333331	961.9982416666667	12.950000000000003	59.791666666666664	0.16872916666666668	738.0	0.7355555555555554	0.54	11.063	0.396	11.463	0.425	12.65	1.592	8.039442743867125
2020-03-04	0.093125	961.8895916666667	14.15	60.333333333333336	0.15510416666666668	737.0	1.3851388888888891	0.556	11.76	0.396	12.742	0.414	13.369	1.599	8.700185601755834
2020-03-05	0.5587958333333334	962.740425	13.899999999999999	64.125	0.16372916666666668	750.0	1.5516666666666665	0.552	12.353	0.388	12.385	0.396	13.481	1.564	8.76723443243534
2020-03-06	1.6018833333333333	959.8902125000003	11.429166666666669	77.95833333333333	0.34555833333333336	570.0	1.9270833333333328	0.532	12.747	0.396	12.218	0.396	13.563	1.55	8.838417409548027
2020-03-07	1.3597583333333338	955.8857958333334	8.995833333333335	73.70833333333333	0.45073333333333326	364.0	0.8833333333333332	0.459	12.683	0.388	9.817	0.396	12.846	1.455	7.98489004247931
2020-03-08	0.6519208333333332	958.6143875000001	5.732500000000001	77.45833333333333	0.3514458333333333	611.0	0.22250000000000014	0.453	11.781	0.376	5.751	0.396	11.874	1.434	6.32210929029669
2020-03-09	0.35390416666666663	962.5428791666665	8.729166666666666	61.666666666666664	0.201125	754.0	0.12722222222222226	0.453	11.578	0.368	9.2257	0.381	12.293	1.407	7.403576055011436
2020-03-10	0.27939166666666665	962.5696874999999	9.924999999999999	62.875	0.08852916666666667	761.0	0.760694444444444	0.699	11.519	0.368	9.0965	0.368	12.62	1.679	7.431609826220374
2020-03-11	0.24214166666666667	960.8976625000001	12.375000000000005	60.208333333333336	0.11784166666666666	760.0	1.1568055555555554	0.747	12.012	0.368	11.225	0.368	13.221	1.734	8.323731312020188
2020-03-12	0.2235125	957.9402208333335	12.991666666666665	67.375	0.11547916666666667	786.0	1.8644444444444446	1.273	12.556	0.368	12.325	0.356	13.708	2.336	9.072470289908596
2020-03-13	0.4470416666666666	949.7889041666666	13.533333333333331	62.541666666666664	0.11547916666666667	763.0	1.5938888888888887	0.929	12.799	0.365	11.951	0.35	13.712	1.923	8.89097986552353
2020-03-14	1.9930500000000004	954.8106249999997	7.749999999999999	73.58333333333333	0.312425	838.0	0.04486111111111094	0.781	12.527	0.342	8.5163	0.364	12.822	1.741	7.594806084885822
2020-03-15	1.7322708333333334	956.395175	4.916666666666667	79.58333333333333	0.303575	800.0	0.01833333333333324	0.916	11.004	0.441	5.7503	0.433	11.558	2.094	6.2828086600853075
2020-03-16	2.3469499999999996	958.127875	4.504166666666666	77.08333333333333	0.18454583333333333	815.0	0.031666666666666364	1.185	9.8833	0.518	4.5833	0.463	10.98	2.535	5.66704417381533
2020-03-17	0.5401708333333332	957.9444416666669	4.995833333333333	81.75	0.35366666666666663	550.0	0.04124999999999993	0.913	9.5764	0.435	6.0923	0.435	11.28	2.086	5.91818110083614
2020-03-18	0.5774083333333334	957.1063166666668	4.979166666666667	87.375	0.4035041666666667	629.0	0.014166666666667105	0.831	9.2069	0.489	5.9056	0.54	11.061	2.176	5.76280856856341
2020-03-19	1.1921000000000002	958.5695166666669	7.312500000000001	82.0	0.20344583333333335	816.0	0.17597222222222197	0.792	9.7833	0.544	7.3139	0.583	11.7	2.245	6.447257512953836
2020-03-20	1.2479833333333332	965.2026083333332	8.729166666666666	75.66666666666667	0.14024166666666665	956.0	0.34263888888888894	0.721	10.433	0.428	8.5807	0.499	12.508	1.929	6.980735185338969
2020-03-21	1.192104166666667	965.3267666666666	9.487500000000002	72.29166666666667	0.10997083333333334	814.0	0.5025000000000001	0.695	10.941	0.392	8.4469	0.447	12.562	1.795	7.060830407398444
2020-03-22	0.7264375	963.6491124999999	10.633333333333338	69.375	0.12566249999999998	822.0	0.8573611111111111	0.668	11.832	0.378	9.8846	0.417	13.15	1.711	7.809333335633146
2020-03-23	1.1176000000000001	960.3163375	9.475	72.79166666666667	0.23370833333333332	890.0	0.41555555555555573	0.694	12.168	0.376	9.0531	0.397	13.096	1.716	7.64554711525773
2020-03-24	0.335275	963.4826083333334	6.933333333333333	79.375	0.39379583333333334	565.0	0.05750000000000011	0.665	11.572	0.4	7.9154	0.42	12.467	1.737	7.07490274096454
2020-03-25	1.0058333333333334	962.3058374999999	5.654166666666666	76.20833333333333	0.26384583333333333	809.0	0.08777777777777766	0.993	10.52	0.483	5.2847	0.593	11.295	2.42	6.0748777973771935
2020-03-26	0.8568333333333333	961.558	5.079166666666667	68.875	0.17306666666666667	889.0	0.1988888888888888	0.813	9.7812	0.491	5.303	0.502	11.64	2.113	5.732326190181095
2020-03-27	1.0430874999999997	962.8956208333335	6.916666666666668	65.70833333333333	0.25371666666666665	701.0	0.12874999999999961	0.687	10.463	0.408	6.405	0.43	11.332	1.784	6.217285623944856
2020-03-28	0.7264333333333334	965.7571333333332	7.783333333333331	72.58333333333333	0.32859166666666667	698.0	0.05166666666666675	0.654	10.765	0.404	7.82	0.406	12.012	1.712	6.7656985839434105
2020-03-29	1.3969999999999996	963.8565291666667	9.112499999999999	85.54166666666667	0.413575	443.0	0.11541666666666665	0.669	10.91	0.423	9.2636	0.502	12.425	1.865	7.346308430052993
2020-03-30	1.0989666666666664	966.9423583333336	9.966666666666667	83.08333333333333	0.40640416666666673	425.0	0.07958333333333356	0.663	11.29	0.408	10.499	0.568	12.635	1.919	7.902610462802611
2020-03-31	0.9313291666666665	967.7931958333332	10.858333333333334	81.16666666666667	0.39629583333333335	806.0	0.07583333333333313	0.627	12.038	0.433	12.306	0.704	12.651	2.065	8.802935100343257
2020-04-01	2.2724583333333332	960.7198749999999	9.024999999999999	62.291666666666664	0.0629875	867.0	0.11958333333333322	0.603	12.814	0.453	9.72	0.827	12.34	2.202	8.245498845301404
2020-04-02	1.0244625	962.2239833333332	7.370833333333333	58.708333333333336	0.04844166666666667	875.0	0.10861111111111114	0.547	12.522	0.387	7.9406	0.672	12.271	1.879	7.447235888643608
2020-04-03	1.2293625	962.3114791666668	9.7125	55.833333333333336	0.11437916666666668	851.0	0.1099999999999998	0.511	12.677	0.36	9.2688	0.581	12.599	1.699	7.881591996759396
2020-04-04	1.0430916666666665	956.0537125000001	8.104166666666666	76.25	0.4532083333333334	501.0	0.1004166666666672	0.57	12.6	0.4	8.3469	0.644	12.419	1.888	7.611783508809999
2020-04-05	2.346954166666667	947.9193208333336	8.9375	79.375	0.411075	625.0	0.029583333333333295	1.544	11.669	1.136	8.9816	2.137	11.522	5.636	8.762199256450954
2020-04-06	0.9871999999999997	952.5868999999999	6.3500000000000005	69.41666666666667	0.18894166666666665	923.0	0.06555555555555566	2.672	10.76	1.1	10.29	2.058	10.265	6.82	9.290029793378485
2020-04-07	1.0430833333333334	961.5805750000001	9.125	71.54166666666667	0.3767291666666666	815.0	0.21472222222222234	2.06	11.129	0.783	9.3406	1.349	11.525	4.905	8.45822267449716
2020-04-08	0.7636750000000001	958.8305583333332	12.054166666666667	74.45833333333333	0.3062708333333333	880.0	0.6219444444444442	1.2	12.003	0.74	11.356	1.118	12.596	3.577	8.978807013996404
2020-04-09	2.5704833333333337	957.6509666666667	14.654166666666669	70.33333333333333	0.278275	908.0	0.3479166666666667	0.666	13.467	0.616	14.873	0.951	13.91	2.612	10.317264446491556
2020-04-10	1.229358333333333	961.2687541666668	12.591666666666667	78.375	0.27745	923.0	0.16986111111111088	0.684	14.336	0.554	14.193	0.857	14.251	2.451	10.326647912539407
2020-04-11	0.689175	959.5953166666668	11.970833333333337	86.20833333333333	0.2434583333333333	861.0	0.7526388888888893	0.68	15.047	0.549	13.487	0.783	14.433	2.353	10.295769177443562
2020-04-12	0.6891833333333333	958.9152124999999	14.149999999999997	74.5	0.194875	902.0	0.9905555555555555	0.689	15.393	0.538	14.769	0.788	15.062	2.357	10.83981629040148
2020-04-13	0.31664583333333335	961.8782958333331	12.850000000000001	72.25	0.15535416666666668	919.0	1.1440277777777779	1.231	15.256	0.511	13.364	1.048	14.057	3.264	10.628023592481929
2020-04-14	0.7078125000000001	966.931075	14.245833333333337	53.666666666666664	0.10260416666666668	901.0	1.7806944444444444	1.886	15.641	0.451	13.929	0.76	14.633	3.624	11.064800130057677
2020-04-15	0.40977499999999994	963.5277583333333	16.1125	52.833333333333336	0.11672083333333333	966.0	2.7568055555555566	1.148	15.633	0.465	15.031	0.675	14.953	2.677	11.113686946708322
2020-04-16	0.7823083333333333	955.8378333333335	16.941666666666666	56.625	0.1063	894.0	2.743055555555556	0.967	16.323	0.48	16.456	0.628	15.341	2.426	11.735164424302532
