Date,DO_sur,DO_bot
2022-05-07,8.197170214620469,7.880134358055798
2022-05-08,8.911743523108182,8.249729464994852
2022-05-09,9.647828669529863,9.264075692640272
2022-05-10,9.52320492638704,9.216434641395974
2022-05-11,9.453162808463372,8.810078005175418
2022-05-12,9.524649016943235,8.815006055459738
2022-05-13,7.5569321816731065,7.166473771482791
2022-05-14,7.720126595687569,7.126109640470992
2022-05-15,8.58830747285778,6.684654104245948
2022-05-16,8.18393098443949,7.691761025176045
2022-05-17,8.03517863046394,7.514816445267345
2022-05-18,7.606168993868758,6.948551954256224
2022-05-19,7.879939966873095,6.78696407849297
2022-05-20,7.904702141925386,7.513757463215027
2022-05-21,8.08332395780396,7.014328172080495
2022-05-22,8.04304901859744,6.757759667135019
2022-05-23,7.7252592537807745,7.030959055711914
