Date	thermD	MLD	SW	AirT	Prec(mm)	relhum	Wdir	Wspeed(m/s)	CC	Inflow	W	delT	Ice_d	day_from_iceoff	MM
2004-05-14	-6.1169		148.0600891	10.195833333333333	3.7	65.50309770097917	203.0	2.0000000000000004	87.66666666666667	5.26405	0.2559428533868907	9.730967576615512e-06	71	-17.0	5
2004-05-15	-6.1439		226.2783813	10.616666666666667	0.0	57.766246147730925	0.0	1.3291666666666664	75.0	5.59997	3.434447825180299	2.614018740132451e-05	71	-16.0	5
2004-05-16	-6.167		267.4750977	9.512500000000005	0.0	49.87563627019317	319.0	1.6375	54.333333333333336	4.83307	3.6836344449523906	0.0288497954607009	71	-15.0	5
2004-05-17	-6.1868		182.7071381	13.683333333333335	0.0	54.335983954942215	194.0	2.9041666666666672	67.0	4.38068	2.1225995317716926	-0.0055081099271774	71	-14.0	5
2004-05-18	-6.2039		238.9052582	14.508333333333333	0.3	49.07262589204798	249.0	3.5	46.333333333333336	4.07309	0.8255120468291017	0.0044178366661071	71	-13.0	5
2004-05-19	-6.2187		116.7400742	8.862499999999999	17.1	85.1054354357883	244.0	2.458333333333333	75.0	3.91005	0.7256387556460957	0.0027448832988739	71	-12.0	5
2004-05-20	-6.2319		310.6055603	8.708333333333334	0.0	48.21329449946859	351.0	2.787500000000001	46.0	8.99045	0.44065321109127203	0.0017899759113788	71	-11.0	5
2004-05-21	-6.2522		307.927002	7.925000000000002	0.0	43.94725000169606	0.0	1.7041666666666668	29.666666666666668	6.45567	2.784842356249043	0.0011860039085149	71	-10.0	5
2004-05-22	-6.3129		253.6917267	6.3125	3.1	74.01912454598079	305.0	1.8541666666666663	62.66666666666666	5.21378	3.270092629605061	0.0008255625143647	71	-9.0	5
2004-05-23	-6.4901		51.92700577	4.804166666666666	5.7	91.23600951431318	12.0	2.775	100.0	5.3408	0.35050028221274254	0.0005867076106369	71	-8.0	5
2004-05-24	-6.5859		119.9801483	7.739130434782607	0.1	78.83541903565704	0.0	1.0347826086956522	96.0	6.18026	0.5357257216739229	0.00041687162593	71	-7.0	5
2004-05-25	-6.615		153.34021	6.137499999999999	3.4	96.2407378462371	0.0	1.2833333333333334	100.0	5.11003	2.3802927482911795	0.0002697960007935	71	-6.0	5
2004-05-26	-6.6107		222.7229462	7.666666666666667	0.0	82.09142103929953	49.0	1.6208333333333336	83.66666666666667	5.36498	2.435480774658748	0.0001564875710755	71	-5.0	5
2004-05-27	-6.602		232.220459	10.4	0.0	71.10410083650305	341.0	1.5833333333333337	62.66666666666666	4.63192	0.8678096562543769	9.371229680255055e-05	71	-4.0	5
2004-05-28	-6.6016		208.3858948	10.866666666666667	0.5	78.12075485940535	0.0	0.9666666666666668	88.0	4.19917	3.8758041329292237	5.7887169532477856e-05	71	-3.0	5
2004-05-29	-6.61		274.061615	9.7375	0.1	69.11960488797752	143.0	1.4999999999999998	75.33333333333333	4.03008	0.4587849094843453	3.693360486067832e-05	71	-2.0	5
2004-05-30	-6.6206		328.3974915	9.566666666666666	0.0	58.86751864612665	0.0	1.520833333333333	33.666666666666664	3.77534	0.4985699625938014	2.4093271349556744e-05	71	-1.0	5
2004-05-31	-6.6257		293.7809448	12.550000000000002	0.0	46.3079030957109	0.0	1.5333333333333332	50.333333333333336	3.54708	6.435840535393973	1.539397726446623e-05	71	0.0	5
2004-06-01	-6.6243		285.7423706	12.676923076923076	0.0	55.20545604541939	0.0	1.6454545454545453	41.66666666666666	3.3563	0.8801831305267223	1.564246485941112e-05	71	1.0	6
2004-06-02	-6.6192		299.3923645	17.666666666666668	0.0	51.67961179830896	65.66666666666667	1.7414141414141413	33.666666666666664	3.18642	0.4928596065074276	8.002723916433752e-05	71	2.0	6
2004-06-03	-6.611		278.1430359	19.666666666666668	0.0	53.17642212		2.630951643	33.666666666666664	3.02989	0.272129043429132	0.0002047107554972	71	3.0	6
2004-06-04	-6.5976		317.24823	18.036363636363635	0.0	44.627923304088085	197.0	1.933333333333333	46.0	2.88316	0.5027386527562698	0.0002917191013693	71	4.0	6
2004-06-05	-6.5788		256.2398376	15.845833333333331	0.3	59.37046624899701	229.0	2.4166666666666665	58.66666666666666	2.74447	7.304566122116225	0.0002576429396867	71	5.0	6
2004-06-06	-6.5549		283.1283875	15.899999999999997	0.0	54.42957962517001	247.0	2.029166666666667	63.0	2.68809	1.973160671581039	0.0001413328573107	71	6.0	6
2004-06-07	-6.5275		166.1868591	11.383333333333333	28.0	86.77896225310366	227.0	1.9458333333333333	83.66666666666667	2.53205	3.8003727086420307	6.745569407939911e-05	71	7.0	6
2004-06-08	-6.4983		180.7079773	9.5375	0.0	58.38903351277159	0.0	2.5583333333333336	41.66666666666666	11.9038	11.77409011253964	2.4617649614810944e-05	71	8.0	6
2004-06-09	-6.469		310.1013489	14.408333333333331	0.1	45.90600289970535	0.0	2.020833333333333	21.0	7.50486	2.053419565341231	-5.230773240327835e-06	71	9.0	6
2004-06-10	-6.4404		74.16379547	11.070833333333336	4.4	82.2465499403307	227.0	1.7125	100.0	5.47317	0.3293598848650489	-2.960488200187683e-05	71	10.0	6
2004-06-11	-6.4132		261.3754578	14.054166666666667	0.8	83.95360006953766	67.0	1.4625	71.0	5.64502	0.6415218402922086	-4.915054887533188e-05	71	11.0	6
2004-06-12	-6.3876		208.993454	11.933333333333335	0.0	71.54127824140538	7.0	1.9125	71.0	4.78966	5.905926529084295	-6.413459777832031e-05	71	12.0	6
2004-06-13	-6.364		330.8746948	15.191666666666665	1.0	53.376733021900726	210.0	2.2416666666666667	37.66666666666666	4.13922	0.5555354624481353	-7.490580901503563e-05	71	13.0	6
2004-06-14	-6.3424		217.4390717	15.682608695652174	10.6	68.7276388633265	248.0	2.2086956521739127	96.0	4.00521	0.5166734900207437	-8.18893313407898e-05	71	14.0	6
2004-06-15	-6.3227		145.2047577	11.870833333333332	3.1	70.55427892473482	0.0	1.0791666666666668	71.0	6.71523	0.2488601069544213	-8.550984784960747e-05	71	15.0	6
2004-06-16	-6.3073		290.1339111	11.8375	0.3	54.680157012624086	340.0	2.320833333333333	54.333333333333336	5.92634	2.6146277290964397	-8.635642006993294e-05	71	16.0	6
2004-06-17	-6.3032		284.8810425	10.97826086956522	0.1	61.38838296484123	331.0	1.6695652173913047	83.66666666666667	4.87204	0.8263860479840057	-8.517783135175705e-05	71	17.0	6
2004-06-18	-6.3067		282.7318115	12.316666666666668	0.0	57.4526502992106	256.0	1.5499999999999998	71.33333333333333	4.26166	1.106403370749481	-8.254311978816986e-05	71	18.0	6
