Date	U	AirP	AirT	Hum	inflow	thermD	CC	MLD	W	delT	Treatment	NOX	DO_sur	DO_bot	PO4	TotP	TotN	NH4	Chl
2013-04-03	3.208238413376346	1022.4816666666668	1.1766666666666667	-6.229166666666667	0.7834	-0.61	0.1491666666666666	-37.73966979980469	75.20695081395408	0.10496539	1	0.2661193907260895	14.23000431060791	13.185602188110352	0.0447772853076458	0.08558523654937744	0.8143159747123718	0.007624054793268442	9.68521499633789
2013-04-04	3.328443618662253	1018.3475	1.3545833333333333	-6.5687500000000005	0.7834	-0.61	0.2316666666666666	-37.73966979980469	70.01089196674349	0.072844446	1	0.28589555621147156	14.513443946838379	13.298788070678711	0.042705997824668884	0.08715389668941498	0.8197134733200073	0.0070861331187188625	9.97966194152832
2013-04-05	3.347138040007453	1014.4808333333334	2.134583333333333	-4.975416666666667	0.7834	-0.61	0.7104166666666667	-37.73966979980469	22.84125356173368	0.027889967	1	0.23914535343647003	14.750419616699219	13.3712158203125	0.042437005788087845	0.08808185160160065	0.806807816028595	0.006609834730625153	9.766480445861816
2013-04-06	2.776861147042848	1017.0958333333332	2.66875	-3.9820833333333336	0.7834	-0.61	0.2970833333333333	-6.644237166940319	51.08437040622705	0.14406854	1	0.202445849776268	14.769020080566406	13.414177894592285	0.03556966781616211	0.08494244515895844	0.789506733417511	0.006368166767060757	8.611204147338867
2013-04-07	5.36815266125943	1014.1795833333334	2.8125	-0.7520833333333333	0.7834	-0.61	0.6062500000000001	-37.73966979980469	19.174365512182263	0.042487025	1	0.17238636314868927	14.596860885620117	13.434236526489258	0.032732050865888596	0.08186962455511093	0.7736809849739075	0.006838703528046608	7.182068824768066
2013-04-08	1.757361802536385	1011.7258333333332	1.835	-4.150416666666667	0.7834	-0.61	0.2025	-37.73966979980469	7471.746939740703	0.16339183	1	0.16354382038116455	14.765778541564941	13.412219047546387	0.03508898615837097	0.08041438460350037	0.7828930020332336	0.0073170047253370285	7.928014278411865
2013-04-09	5.366700783713699	1010.9841666666666	1.5608333333333333	-6.343333333333334	0.7834	-0.61	0.5870833333333333	-37.73966979980469	22.90087581117737	0.041136026	1	0.1781545877456665	15.149385452270508	13.454111099243164	0.041044123470783234	0.08183764666318893	0.7998596429824829	0.008013050071895123	8.596702575683594
2013-04-10	6.680302998371996	1008.57625	2.70875	-1.7804166666666668	0.7834	-0.61	0.8991666666666666	-37.73966979980469	12.80252988454173	0.037044168	1	0.17264756560325623	15.256620407104492	13.430044174194336	0.04759543761610985	0.08438693732023239	0.7965202331542969	0.007903119549155235	9.40289306640625
2013-04-11	6.809481283999335	1003.1995833333334	2.8641666666666663	1.23	0.7834	-0.61	0.9695833333333334	-37.73966979980469	11.13397261842155	0.033347607	1	0.1974886804819107	14.945523262023926	13.421724319458008	0.05036274716258049	0.08743136376142502	0.7872575521469116	0.00772491842508316	9.350491523742676
2013-04-12	3.4929793870257355	997.6558333333334	4.384166666666666	3.7283333333333335	0.7834	-0.61	0.9720833333333332	-37.73966979980469	600.4853017749635	0.033907652	1	0.22022058069705963	14.50777530670166	13.396624565124512	0.052740246057510376	0.08854339271783829	0.7806018590927124	0.007629889063537121	9.237401008605957
