Date,thermistorDepth,V1
2018-06-25,3,NA
2018-06-25,3.5,NA
2018-06-25,4,NA
2018-06-25,4.5,NA
2018-06-26,0.05,NA
2018-06-26,0.5,NA
2018-06-26,1,NA
2018-06-26,1.5,NA
2018-06-26,2,NA
2018-06-26,2.5,NA
2018-06-26,3,NA
2018-06-26,3.5,NA
2018-06-26,4,NA
2018-06-26,4.5,NA
2018-06-27,0.05,NA
2018-06-27,0.5,NA
2018-06-27,1,NA
2018-06-27,1.5,NA
2018-06-27,2,NA
2018-06-27,2.5,NA
2018-06-27,3,NA
2018-06-27,3.5,NA
2018-06-27,4,NA
2018-06-27,4.5,NA
2018-06-28,0.05,NA
2018-06-28,0.5,NA
2018-06-28,1,NA
2018-06-28,1.5,NA
2018-06-28,2,NA
2018-06-28,2.5,NA
2018-06-28,3,NA
2018-06-28,3.5,NA
2018-06-28,4,NA
2018-06-28,4.5,NA
2018-06-29,0.05,NA
2018-06-29,0.5,NA
2018-06-29,1,NA
2018-06-29,1.5,NA
2018-06-29,2,NA
2018-06-29,2.5,NA
2018-06-29,3,NA
2018-06-29,3.5,NA
2018-06-29,4,NA
2018-06-29,4.5,NA
2018-06-30,0.05,NA
2018-06-30,0.5,NA
2018-06-30,1,NA
2018-06-30,1.5,NA
2018-06-30,2,NA
2018-06-30,2.5,NA
2018-06-30,3,NA
2018-06-30,3.5,NA
2018-06-30,4,NA
2018-06-30,4.5,NA
2018-07-01,0.05,NA
2018-07-01,0.5,NA
2018-07-01,1,NA
2018-07-01,1.5,NA
2018-07-01,2,NA
2018-07-01,2.5,NA
2018-07-01,3,NA
2018-07-01,3.5,NA
2018-07-01,4,NA
2018-07-01,4.5,NA
2018-07-02,0.05,NA
2018-07-02,0.5,NA
2018-07-02,1,NA
2018-07-02,1.5,NA
2018-07-02,2,NA
2018-07-02,2.5,NA
2018-07-02,3,NA
2018-07-02,3.5,NA
2018-07-02,4,NA
2018-07-02,4.5,NA
2018-07-03,0.05,NA
2018-07-03,0.5,NA
2018-07-03,1,NA
2018-07-03,1.5,NA
2018-07-03,2,NA
2018-07-03,2.5,NA
2018-07-03,3,NA
2018-07-03,3.5,NA
2018-07-03,4,NA
2018-07-03,4.5,NA
2018-07-04,0.05,NA
2018-07-04,0.5,NA
2018-07-04,1,NA
2018-07-04,1.5,NA
2018-07-04,2,NA
2018-07-04,2.5,NA
2018-07-04,3,NA
2018-07-04,3.5,NA
2018-07-04,4,NA
2018-07-04,4.5,NA
2018-07-05,0.05,NA
2018-07-05,0.5,NA
2018-07-05,1,NA
2018-07-05,1.5,NA
2018-07-05,2,NA
2018-07-05,2.5,NA
2018-07-05,3,NA
2018-07-05,3.5,NA
2018-07-05,4,NA
2018-07-05,4.5,NA
2018-07-06,0.05,NA
2018-07-06,0.5,NA
2018-07-06,1,NA
2018-07-06,1.5,NA
2018-07-06,2,NA
2018-07-06,2.5,NA
2018-07-06,3,NA
2018-07-06,3.5,NA
2018-07-06,4,NA
2018-07-06,4.5,NA
2018-07-07,0.05,NA
2018-07-07,0.5,NA
2018-07-07,1,NA
2018-07-07,1.5,NA
2018-07-07,2,NA
2018-07-07,2.5,NA
2018-07-07,3,NA
2018-07-07,3.5,NA
2018-07-07,4,NA
2018-07-07,4.5,NA
2018-07-08,0.05,NA
2018-07-08,0.5,NA
2018-07-08,1,NA
2018-07-08,1.5,NA
2018-07-08,2,NA
2018-07-08,2.5,NA
2018-07-08,3,NA
2018-07-08,3.5,NA
2018-07-08,4,NA
2018-07-08,4.5,NA
2018-07-09,0.05,NA
2018-07-09,0.5,NA
2018-07-09,1,NA
2018-07-09,1.5,NA
2018-07-09,2,NA
2018-07-09,2.5,NA
2018-07-09,3,NA
2018-07-09,3.5,NA
2018-07-09,4,NA
2018-07-09,4.5,NA
2018-07-10,0.05,26.8864705882353
2018-07-10,0.5,26.5508823529412
2018-07-10,1,26.0547058823529
2018-07-10,1.5,25.7667647058824
2018-07-10,2,25.4929411764706
2018-07-10,2.5,24.6144117647059
2018-07-10,3,21.7352941176471
2018-07-10,3.5,18.0420588235294
2018-07-10,4,14.7326470588235
2018-07-10,4.5,12.1388235294118
2018-07-11,0.05,25.7814583333333
2018-07-11,0.5,25.7579166666667
2018-07-11,1,25.7095833333333
2018-07-11,1.5,25.638125
2018-07-11,2,25.4939583333333
2018-07-11,2.5,24.7847916666667
2018-07-11,3,21.8108333333333
2018-07-11,3.5,18.1372916666667
2018-07-11,4,14.83
2018-07-11,4.5,12.1964583333333
2018-07-12,0.05,24.9970833333333
2018-07-12,0.5,24.9870833333333
2018-07-12,1,24.950625
2018-07-12,1.5,24.8970833333333
2018-07-12,2,24.8404166666667
2018-07-12,2.5,24.583125
2018-07-12,3,22.0933333333333
2018-07-12,3.5,18.26375
2018-07-12,4,14.9214583333333
2018-07-12,4.5,12.291875
2018-07-13,0.05,24.8191666666667
2018-07-13,0.5,24.79875
2018-07-13,1,24.72
2018-07-13,1.5,24.6579166666667
2018-07-13,2,24.6027083333333
2018-07-13,2.5,24.3029166666667
2018-07-13,3,22.1020833333333
2018-07-13,3.5,18.34125
2018-07-13,4,15.0270833333333
2018-07-13,4.5,12.373125
2018-07-14,0.05,26.496875
2018-07-14,0.5,25.4425
2018-07-14,1,24.8941666666667
2018-07-14,1.5,24.6566666666667
2018-07-14,2,24.5229166666667
2018-07-14,2.5,24.189375
2018-07-14,3,22.1875
2018-07-14,3.5,18.4302083333333
2018-07-14,4,15.1364583333333
2018-07-14,4.5,12.436875
2018-07-15,0.05,26.97
2018-07-15,0.5,26.5727083333333
2018-07-15,1,25.8554166666667
2018-07-15,1.5,25.2295833333333
2018-07-15,2,24.834375
2018-07-15,2.5,24.28
2018-07-15,3,22.2658333333333
2018-07-15,3.5,18.6291666666667
2018-07-15,4,15.2910416666667
2018-07-15,4.5,12.5370833333333
2018-07-16,0.05,26.2885106382979
2018-07-16,0.5,26.2534042553192
2018-07-16,1,26.0334042553191
2018-07-16,1.5,25.645
2018-07-16,2,25.1680434782609
2018-07-16,2.5,24.4426086956522
2018-07-16,3,22.4032608695652
2018-07-16,3.5,18.8280434782609
2018-07-16,4,15.4313043478261
2018-07-16,4.5,12.6460869565217
2018-07-17,0.05,25.2568571428571
2018-07-17,0.5,25.244
2018-07-17,1,25.1991428571429
2018-07-17,1.5,25.0608571428571
2018-07-17,2,24.9128571428571
2018-07-17,2.5,24.608
2018-07-17,3,22.5517142857143
2018-07-17,3.5,18.846
2018-07-17,4,15.4822857142857
2018-07-17,4.5,12.7005714285714
2018-07-18,0.05,25.2920833333333
2018-07-18,0.5,25.0564583333333
2018-07-18,1,24.8866666666667
2018-07-18,1.5,24.7504166666667
2018-07-18,2,24.6239583333333
2018-07-18,2.5,24.384375
2018-07-18,3,22.7645833333333
2018-07-18,3.5,18.976875
2018-07-18,4,15.5589583333333
2018-07-18,4.5,12.7547916666667
2018-07-19,0.05,25.4560416666667
2018-07-19,0.5,25.3622916666667
2018-07-19,1,25.1708333333333
2018-07-19,1.5,24.8695833333333
2018-07-19,2,24.6683333333333
2018-07-19,2.5,24.3058333333333
2018-07-19,3,22.868125
2018-07-19,3.5,19.1202083333333
2018-07-19,4,15.6875
2018-07-19,4.5,12.8575
2018-07-20,0.05,24.9589583333333
2018-07-20,0.5,24.9652083333333
2018-07-20,1,24.9552083333333
2018-07-20,1.5,24.9010416666667
2018-07-20,2,24.7622916666667
2018-07-20,2.5,24.335
2018-07-20,3,22.5666666666667
2018-07-20,3.5,19.2110416666667
2018-07-20,4,15.8402083333333
2018-07-20,4.5,12.961875
2018-07-21,0.05,23.3575
2018-07-21,0.5,23.36375
2018-07-21,1,23.3635416666667
2018-07-21,1.5,23.36375
2018-07-21,2,23.3570833333333
2018-07-21,2.5,23.3375
2018-07-21,3,22.506875
2018-07-21,3.5,19.3535416666667
2018-07-21,4,15.9754166666667
2018-07-21,4.5,13.076875
2018-07-22,0.05,22.751875
