Date,thermistorDepth,V1
2019-07-31,0.05,14.8972916666667
2019-07-31,1.75,14.878125
2019-07-31,3.5,14.8341666666667
2019-07-31,5.25,14.686875
2019-07-31,7,13.935
2019-07-31,8.75,8.86895833333333
2019-07-31,10.5,7.39520833333333
2019-07-31,12.25,6.73770833333333
2019-07-31,14,6.44229166666667
2019-07-31,15.75,6.25625
2019-08-01,0.05,14.098125
2019-08-01,1.75,14.1245833333333
2019-08-01,3.5,14.125625
2019-08-01,5.25,14.1216666666667
2019-08-01,7,14.0160416666667
2019-08-01,8.75,9.13729166666667
2019-08-01,10.5,7.42520833333333
2019-08-01,12.25,6.77729166666667
2019-08-01,14,6.45625
2019-08-01,15.75,6.27854166666667
2019-08-02,0.05,13.4622916666667
2019-08-02,1.75,13.4885416666667
2019-08-02,3.5,13.4866666666667
2019-08-02,5.25,13.4795833333333
2019-08-02,7,13.4579166666667
2019-08-02,8.75,9.50916666666667
2019-08-02,10.5,7.41833333333333
2019-08-02,12.25,6.80395833333333
2019-08-02,14,6.4525
2019-08-02,15.75,6.27145833333333
2019-08-03,0.05,12.955
2019-08-03,1.75,12.9614583333333
2019-08-03,3.5,12.953125
2019-08-03,5.25,12.944375
2019-08-03,7,12.9225
2019-08-03,8.75,11.3247916666667
2019-08-03,10.5,7.45958333333333
2019-08-03,12.25,6.816875
2019-08-03,14,6.46958333333333
2019-08-03,15.75,6.28333333333333
2019-08-04,0.05,12.5214583333333
2019-08-04,1.75,12.555625
2019-08-04,3.5,12.556875
2019-08-04,5.25,12.5495833333333
2019-08-04,7,12.52375
2019-08-04,8.75,12.020625
2019-08-04,10.5,7.97208333333333
2019-08-04,12.25,6.88645833333333
2019-08-04,14,6.540625
2019-08-04,15.75,6.36354166666667
2019-08-05,0.05,12.1727083333333
2019-08-05,1.75,12.15375
2019-08-05,3.5,12.1279166666667
2019-08-05,5.25,12.09375
2019-08-05,7,11.790625
2019-08-05,8.75,11.2797916666667
2019-08-05,10.5,8.91958333333333
2019-08-05,12.25,6.89479166666667
2019-08-05,14,6.54791666666667
2019-08-05,15.75,6.34708333333333
2019-08-06,0.05,12.4279166666667
2019-08-06,1.75,12.3614583333333
2019-08-06,3.5,12.245
2019-08-06,5.25,11.9310416666667
2019-08-06,7,11.353125
2019-08-06,8.75,10.8354166666667
2019-08-06,10.5,9.10625
2019-08-06,12.25,6.93645833333333
2019-08-06,14,6.54520833333333
2019-08-06,15.75,6.33604166666667
2019-08-07,0.05,12.7070833333333
2019-08-07,1.75,12.5847916666667
2019-08-07,3.5,12.136875
2019-08-07,5.25,11.55375
2019-08-07,7,11.126875
2019-08-07,8.75,10.7141666666667
2019-08-07,10.5,9.01520833333333
2019-08-07,12.25,6.94541666666667
2019-08-07,14,6.54208333333333
2019-08-07,15.75,6.32583333333333
2019-08-08,0.05,13.0166666666667
2019-08-08,1.75,12.9147916666667
2019-08-08,3.5,11.8333333333333
2019-08-08,5.25,11.46625
2019-08-08,7,11.134375
2019-08-08,8.75,10.7564583333333
2019-08-08,10.5,8.91229166666667
2019-08-08,12.25,6.94645833333333
2019-08-08,14,6.55041666666667
2019-08-08,15.75,6.323125
2019-08-09,0.05,11.8702083333333
2019-08-09,1.75,11.8775
2019-08-09,3.5,11.7966666666667
2019-08-09,5.25,11.5277083333333
2019-08-09,7,11.1722916666667
2019-08-09,8.75,10.74375
2019-08-09,10.5,8.976875
2019-08-09,12.25,6.961875
2019-08-09,14,6.55354166666667
2019-08-09,15.75,6.34583333333333
2019-08-10,0.05,11.6020833333333
2019-08-10,1.75,11.6170833333333
2019-08-10,3.5,11.5952083333333
2019-08-10,5.25,11.551875
2019-08-10,7,11.3091666666667
2019-08-10,8.75,10.751875
2019-08-10,10.5,9.16458333333333
2019-08-10,12.25,7.01041666666667
2019-08-10,14,6.57520833333333
2019-08-10,15.75,6.34333333333333
2019-08-11,0.05,11.33375
2019-08-11,1.75,11.359375
2019-08-11,3.5,11.3608333333333
2019-08-11,5.25,11.33375
2019-08-11,7,11.0327083333333
2019-08-11,8.75,10.720625
2019-08-11,10.5,9.294375
2019-08-11,12.25,7.003125
2019-08-11,14,6.56791666666667
2019-08-11,15.75,6.33958333333333
2019-08-12,0.05,10.913125
2019-08-12,1.75,10.895625
2019-08-12,3.5,10.8858333333333
2019-08-12,5.25,10.873125
2019-08-12,7,10.8027083333333
2019-08-12,8.75,10.604375
2019-08-12,10.5,9.44145833333333
2019-08-12,12.25,7.054375
2019-08-12,14,6.58354166666667
2019-08-12,15.75,6.35020833333333
2019-08-13,0.05,10.8595833333333
2019-08-13,1.75,10.7847916666667
2019-08-13,3.5,10.75375
2019-08-13,5.25,10.7327083333333
2019-08-13,7,10.6902083333333
2019-08-13,8.75,10.4370833333333
2019-08-13,10.5,9.43083333333333
2019-08-13,12.25,7.11854166666667
2019-08-13,14,6.58604166666667
2019-08-13,15.75,6.365
2019-08-14,0.05,10.82375
2019-08-14,1.75,10.815
2019-08-14,3.5,10.783125
2019-08-14,5.25,10.7466666666667
2019-08-14,7,10.6270833333333
2019-08-14,8.75,10.349375
2019-08-14,10.5,9.615
2019-08-14,12.25,7.41916666666667
2019-08-14,14,6.7425
2019-08-14,15.75,6.45854166666667
2019-08-15,0.05,10.501875
2019-08-15,1.75,10.5020833333333
2019-08-15,3.5,10.4754166666667
2019-08-15,5.25,10.445
2019-08-15,7,10.3541666666667
2019-08-15,8.75,10.145625
2019-08-15,10.5,9.69541666666667
2019-08-15,12.25,8.07083333333333
2019-08-15,14,6.81479166666667
2019-08-15,15.75,6.48729166666667
2019-08-16,0.05,10.438125
2019-08-16,1.75,10.4491666666667
2019-08-16,3.5,10.3854166666667
2019-08-16,5.25,10.0408333333333
2019-08-16,7,9.75375
2019-08-16,8.75,9.50333333333333
